feedback,sentiment_label,ratings,sentiment_desc,clean_text,text_length
Excellent service. Everything is well taken care of by the staff here. Food is also good. Very neatly maintained rooms. I am fully satisfied with the treatments and hospitality at this hospital. Thank you so much Fortis Team.,1,5,Positive,excellent service everything well taken care staff food also good neatly maintained room fully satisfied treatment hospitality hospital thank much fortis team,22
"Dr. Sheela is a very professional and experienced doctor. Good facilities and the staff is good too. However, during insurance clearances you may have to face a little issue. Overall very good hospital with great facilities.",1,4,Positive,dr sheela professional experienced doctor good facility staff good however insurance clearance may face little issue overall good hospital great facility,21
"Dr Raju sir and team are very good, and the service of all Staff members is very good. Facilities in hospital are excellent and accurate. ",1,5,Positive,dr raju sir team good service staff member good facility hospital excellent accurate,13
Had come for ear surgery for my brother under Dr Athira Ramakrishnan. She had given excellent treatment.,1,4,Positive,come ear surgery brother dr athira ramakrishnan given excellent treatment,10
"She had an effective communication with the patient and explained everything thoroughly. The nursing services were really good, being available all the time around. Very happy with the services given by the supporting staffs as well. All the staffs performed their duties really well. Thank you all.",1,5,Positive,effective communication patient explained everything thoroughly nursing service really good available time around happy service given supporting staff well staff performed duty really well thank,25
"Recommended doctors and hospital for cardiac surgeries. Dr Vivek Jawali, Dr Murali Manohar, Dr Nikhil are excelkent team doctors. Suraksha, Alida, Aneesha, support staffs Are extremely good caring. Food is hygiene and timely.",1,5,Positive,recommended doctor hospital cardiac surgery dr vivek jawali dr murali manohar dr nikhil excelkent team doctor suraksha alida aneesha support staff extremely good caring food hygiene timely,27
Dr. Usha B R is very well experienced and knowledgeable. She treats patients as her friends. Build that confidence and bond with patients to make them comfortable. ,1,5,Positive,dr usha b r well experienced knowledgeable treat patient friend build confidence bond patient make comfortable,16
Overall good experience with her. Daycare all nursing staffs are very caring and always available. Thanks to Dr. Usha and her team.,1,4,Positive,overall good experience daycare nursing staff caring always available thanks dr usha team,13
Dr. Shabeer Ahmed has provided prompt treatment and it helped me to recover. Nurses are also very good. They're very helpful and humble.,1,5,Positive,dr shabeer ahmed provided prompt treatment helped recover nurse also good theyre helpful humble,14
"Very satisfied with Dr. S S Praharaj. Nicely we did my surgery. Super nursing staffs. From morning till night, they took care very efficiently. Once we press the call bell, they will always come immediately. Food and cleaning team always on time. Overall good service.",1,4,Positive,satisfied dr praharaj nicely surgery super nursing staff morning till night took care efficiently press call bell always come immediately food cleaning team always time overall good service,28
Dr. Usha B R is friendly and analysis the medical condition very efficiently. She's took care very well. Nursing staffs are very very cooperative special thanks to sister Shalini. We like the environment very much and hoping for the best results. Thank u all.,1,5,Positive,dr usha b r friendly analysis medical condition efficiently shes took care well nursing staff cooperative special thanks sister shalini like environment much hoping best result thank u,28
"The treatment was very good from the hospital. They guided us in each and every step. The doctors including Gayathri kamat and Swetha mam are really good and caring. It was nice to get the treatment done at Fortis,",1,5,Positive,treatment good hospital guided u every step doctor including gayathri kamat swetha mam really good caring nice get treatment done fortis,21
Dr. Sudha Vinod Menon is an amazing doctor. She has explained everything to us properly. All the nurses are very good and caring,1,4,Positive,dr sudha vinod menon amazing doctor explained everything u properly nurse good caring,13
My wife was admitted recently for an emergency while she is expecting. And we are extremely satisfied with all the services provided by doctors and nurses right from the emergency department till our discharge,1,5,Positive,wife admitted recently emergency expecting extremely satisfied service provided doctor nurse right emergency department till discharge,16
Special thanks to Dr. Chaitra and Dr. Mangala for a thorough check-up and diligent treatment approach during this visit.,1,5,Positive,special thanks dr chaitra dr mangala thorough checkup diligent treatment approach visit,12
"I visited Dr. Usha from gynecology department at Fortis bannerghatta. The diagnosis was apt and had to go though a minor surgery later. I was treated well by all the doctors and nurses, everyone was really corporative and helpful.",1,4,Positive,visited dr usha gynecology department fortis bannerghatta diagnosis apt go though minor surgery later treated well doctor nurse everyone really corporative helpful,22
I am very thankful to this hospital and Dr for curing my father health problem with his skillful treatment. I really appreciate all the doctors teams and nursing staff for their commitment. Excellent service,1,5,Positive,thankful hospital dr curing father health problem skillful treatment really appreciate doctor team nursing staff commitment excellent service,18
We loved the hospitality of the staff members and doctors. They are so hardworking and put efforts to ensure good health and safety of the patients. Dr. Gayathri is an excellent doctor who also provides you guidance and emotional support,1,5,Positive,loved hospitality staff member doctor hardworking put effort ensure good health safety patient dr gayathri excellent doctor also provides guidance emotional support,22
We are really satisfied with the service from Fortis. There is no negative point about this hospital. Well maintained and very systematic. The best part is your time will not be wasted even for 1 min. Thanks for the doctors and all other workers.,1,3,Positive,really satisfied service fortis negative point hospital well maintained systematic best part time wasted even min thanks doctor worker,19
Had an emergency visit to the hospital with my father who was hospitalised for a couple of days due to a surgery. The doctors and staff of the hospital took utmost care. The best part of the hospital is that the team follows its processes and protocols so well.,1,5,Positive,emergency visit hospital father hospitalised couple day due surgery doctor staff hospital took utmost care best part hospital team follows process protocol well,23
Good hospitality & Services.,1,5,Positive,good hospitality service,3
Great hospital with quality standards.,1,4,Positive,great hospital quality standard,4
Dr. Chaya Patel is a very good doctor knowing her from 10 years. Polite and experienced.,1,5,Positive,dr chaya patel good doctor knowing year polite experienced,9
"Diagnosis, treatment and care are good. It is a big organisation and a large team of doctors and supporting staffs doing a decent job! Cost is bit on the higher side. A cot could be provided for attenders in general ward. Discharge process was not smooth.",1,3,Positive,diagnosis treatment care good big organisation large team doctor supporting staff decent job cost bit higher side cot could provided attender general ward discharge process smooth,26
The ward was also very clean and well maintained (we had chosen a twin sharing room).,1,5,Positive,ward also clean well maintained chosen twin sharing room,9
The pulmonologist team did a very thorough diagnosis and suggested the best course of treatment.,1,5,Positive,pulmonologist team thorough diagnosis suggested best course treatment,8
"My entire pregnancy experience at Fortis was phenomenal. From prenatal to delivery , my experience of being a first time mother was made the most memorable experience. Thank you , Gayatri D Kamath and team for making the happiest day of my life even better !!",1,4,Positive,entire pregnancy experience fortis phenomenal prenatal delivery experience first time mother made memorable experience thank gayatri kamath team making happiest day life even better,24
Excellent service. Everything is well taken care of by the staff here. Food is also good. Very neatly maintained rooms. I am fully satisfied with the treatments and hospitality at this hospital. Thank you so much Fortis Team.,1,5,Positive,excellent service everything well taken care staff food also good neatly maintained room fully satisfied treatment hospitality hospital thank much fortis team,22
"Dr. Sheela is a very professional and experienced doctor. Good facilities and the staff is good too. However, during insurance clearances you may have to face a little issue. Overall very good hospital with great facilities.",1,5,Positive,dr sheela professional experienced doctor good facility staff good however insurance clearance may face little issue overall good hospital great facility,21
It is a big organisation and a large team of doctors and supporting staffs doing a decent job! Cost is bit on the higher side. ,1,4,Positive,big organisation large team doctor supporting staff decent job cost bit higher side,13
They were a great support during the difficult times Night staff were exceptional always running to peopleâ€™s aid I felt they were overloaded with work.,1,5,Positive,great support difficult time night staff exceptional always running peopleâ€™s aid felt overloaded work,14
Over all great service and support All of staff members were awesome people.,1,4,Positive,great service support staff member awesome people,7
Aster hospital has the latest systems and techniques The hospital is very clean and well maintained.,1,4,Positive,aster hospital latest system technique hospital clean well maintained,9
I wholeheartedly recommend them to anyone in need of cardiac care Their combination of medical expertise and genuine compassion is truly remarkable,1,5,Positive,wholeheartedly recommend anyone need cardiac care combination medical expertise genuine compassion truly remarkable,13
They are Master's in Consultation Treatment Lab Services and Car Special thanks to Emergency ICU Insurance and Security Teams.,1,4,Positive,master consultation treatment lab service car special thanks emergency icu insurance security team,13
Overall helpful staff and good service.,1,5,Positive,overall helpful staff good service,5
Crowd management can be improved and nursing support staff can be increased in departments,1,3,Positive,crowd management improved nursing support staff increased department,8
Worst hospital Only because of good doctor we came here except that each and every thing here is worst.,0,2,Negative,worst hospital good doctor came except every thing worst,9
Aster CMI is One of the best hospital with good facilities and the top consultants in the south India.,1,4,Positive,aster cmi one best hospital good facility top consultant south india,11
I would strongly recommend this hospital to whoever wants top class treatment and best administrative services.,1,4,Positive,would strongly recommend hospital whoever want top class treatment best administrative service,12
One of the best hospital with good facilities We had taken full body checkup for both Really good staff and friendly staff,1,5,Positive,one best hospital good facility taken full body checkup really good staff friendly staff,14
We were in the general ward and there was no nurse call option provided,0,2,Negative,general ward nurse call option provided,6
Admitted for dengue treatment under doctor brunda madam doctor treated very well and helped me to get platlets improvement within a short time,1,4,Positive,admitted dengue treatment doctor brunda madam doctor treated well helped get platlets improvement within short time,16
I got a positive vibes while leaving the hospital they provided get well soon card for me Excellent service treatment.,1,4,Positive,got positive vibe leaving hospital provided get well soon card excellent service treatment,13
If you have enough money then you can choose this hospital There is no limit on looting patients here.,1,3,Positive,enough money choose hospital limit looting patient,7
For hospitization below is feedback Senior Doctors are good Jr Doctors are not sharing or responding for any queries,1,3,Positive,hospitization feedback senior doctor good jr doctor sharing responding query,10
Nurse station support is very poor we have to follow up for everything.,0,2,Negative,nurse station support poor follow everything,6
They just say wait  doctor will come or test will start no proper data they have.,0,1,Negative,say wait doctor come test start proper data,8
Fantastic treatment doctor nagamalesh sir removed two blocks successfully and he made me very comfortable procedure time awesome support.,1,4,Positive,fantastic treatment doctor nagamalesh sir removed two block successfully made comfortable procedure time awesome support,15
Dr somshekar is the best He gave my mom a second life.,1,4,Positive,dr somshekar best gave mom second life,7
Staff are friendly and excellent in whatever service they render.,1,5,Positive,staff friendly excellent whatever service render,6
This is an extremely expensive hospital which cannot be afforded without insurance.,1,3,Positive,extremely expensive hospital afforded without insurance,6
In patient care was great during the first few days Nursing team was very fast to respond and very friendly.,1,4,Positive,patient care great first day nursing team fast respond friendly,10
Regular visits by the doctors Excellent house keeping.,1,5,Positive,regular visit doctor excellent house keeping,6
The food takes a very long time to get delivered Food is again on the expensive side.,0,2,Negative,food take long time get delivered food expensive side,9
A lot can improve in this place to make the experience great.,1,3,Positive,lot improve place make experience great,6
Itâ€™s been 7 months since the accident now and Iâ€™m back on my feet Thanks to Aster CMI for their good healthcare.,1,4,Positive,itâ€™s month since accident iâ€™m back foot thanks aster cmi good healthcare,12
The registration experience was quick and hassle free The diagnostic labs are good too.,1,4,Positive,registration experience quick hassle free diagnostic lab good,8
Overall it is a good and clean hospital which makes it one of the most favorite hospitals for locals and international patients.,1,5,Positive,overall good clean hospital make one favorite hospital local international patient,11
The doctors are the best in the city along with great infrastructure makes this a preferred hospital for all.,1,4,Positive,doctor best city along great infrastructure make preferred hospital,9
Had a very good experience with the hospital doctor Dr Brinda Dr Lokesh and surgeon Dr Santosh nu neuro.,1,5,Positive,good experience hospital doctor dr brinda dr lokesh surgeon dr santosh nu neuro,13
I was really happy and fully satisfied with the Pre Surgery preparations/ Surgery operations & post surgery care.,1,5,Positive,really happy fully satisfied pre surgery preparation surgery operation post surgery care,12
My experience with the hospital was good overall.,1,5,Positive,experience hospital good overall,4
The hospital has good infrastructure and facilities.,1,4,Positive,hospital good infrastructure facility,4
When it comes to doctors they do have lots of well experienced and knowledgeable doctors.,1,4,Positive,come doctor lot well experienced knowledgeable doctor,7
Special mention to exceptional nursing and other medical & non medical staff who were very caring and checking on the kid every now and then.,1,5,Positive,special mention exceptional nursing medical non medical staff caring checking kid every,12
Especially Mr Rajesh took care of mother like anything Whenever whatever we asked he had helped and arranged Great job,1,4,Positive,especially mr rajesh took care mother like anything whenever whatever asked helped arranged great job,15
I recently had a positive experience at Aster CMI Hospital.,1,5,Positive,recently positive experience aster cmi hospital,6
I am so glad that we got a kidney transplant done for my wife in Aster Hospital I can say the best hospital with superb service.,1,4,Positive,glad got kidney transplant done wife aster hospital say best hospital superb service,13
Overall the hospital has been following good maintanence and cleaning of the wards to ensure hygiene.,1,5,Positive,overall hospital following good maintanence cleaning ward ensure hygiene,9
Visited the medical oncology department The consultation process was smooth Staff were polite and helpful.,1,4,Positive,visited medical oncology department consultation process smooth staff polite helpful,10
Overall it was good treatment wise and the services Were also really good.,1,5,Positive,overall good treatment wise service also really good,8
The entire Gynac department including fetal medicine OPD staff labor wards and nurses worked very efficiently and effectively throughout the time.,1,5,Positive,entire gynac department including fetal medicine opd staff labor ward nurse worked efficiently effectively throughout time,16
My wife was given a complimentary massage post delivery which speeded up her recovery and was very relaxing for her.,1,4,Positive,wife given complimentary massage post delivery speeded recovery relaxing,9
The staff also organised a surprise cake cutting for us as part of the celebration.,1,5,Positive,staff also organised surprise cake cutting u part celebration,9
The admission process was remarkably smooth reflecting the hospital's commitment to efficiency and patient comfort.,1,4,Positive,admission process remarkably smooth reflecting hospital commitment efficiency patient comfort,10
The staff mainted high level of professionalism and compassion making me feel well-cared-for throughout my stay.,1,4,Positive,staff mainted high level professionalism compassion making feel wellcaredfor throughout stay,11
I Had good experience with Dr sanjay Bhatt who gives time for patients to understand their problem and provide the right medication and suggestion.,1,5,Positive,good experience dr sanjay bhatt give time patient understand problem provide right medication suggestion,14
All good treatment from pediatric surgery team.,1,5,Positive,good treatment pediatric surgery team,5
Aster has been the place for all my medical needs They have one of best medical care that you can ever get.,1,5,Positive,aster place medical need one best medical care ever get,10
The staff are caring and one of the most efficient hospital I have ever visited.,1,5,Positive,staff caring one efficient hospital ever visited,7
I had some issues in bed assignments probably due to patient load on the hospital.,1,3,Positive,issue bed assignment probably due patient load hospital,8
The Nurses did an excellent job especially Manjari Payal and Moushmi who always attended with a smile when needed.,1,5,Positive,nurse excellent job especially manjari payal moushmi always attended smile needed,11
I believe the hospital is expensive compared to others.,1,3,Positive,believe hospital expensive compared others,5
the cost of hospital is more.,1,3,Positive,cost hospital,2
I would not like to recommend this hospital to anyone because of the bill they prepare at the time of discharge.,0,2,Negative,would like recommend hospital anyone bill prepare time discharge,9
I had a single private room but was not cleaned and the staff was very rude,0,1,Negative,single private room cleaned staff rude,6
the food is not tasty and is not made well This can definitely improve,0,2,Negative,food tasty made well definitely improve,6
my wife during the treatment Got great support from the overall medical team.,1,4,Positive,wife treatment got great support overall medical team,8
Only concern is with the admission process and canteen  It needs to be improved.,1,3,Positive,concern admission process canteen need improved,6
Came to the Radiology department for my wifeâ€™s MRI and CT Scan it was done in a quickly and very positive way.,1,4,Positive,came radiology department wifeâ€™s mri ct scan done quickly positive way,11
I am extremely happy the way she is helping me in my weight loss journey.,1,5,Positive,extremely happy way helping weight loss journey,7
I requested to provide more staff in general ward.,1,3,Positive,requested provide staff general ward,5
The nurses staffs food service general ward rooms facility were excellent.,1,5,Positive,nurse staff food service general ward room facility excellent,9
Admitted one day for the medical observation 1 week before delivery All process again was very smooth.,1,4,Positive,admitted one day medical observation week delivery process smooth,9
All producers has been taken very carefully and neat and smooth.,1,4,Positive,producer taken carefully neat smooth,5
Shridhara s from nursing team has given immense support and happy for him.,1,4,Positive,shridhara nursing team given immense support happy,7
Gynecologist Bhavani madam is good treating communication and treatment all is v good,1,5,Positive,gynecologist bhavani madam good treating communication treatment v good,9
the poor can't afford this hospital in my opinion If you have medical insurance then it's easy.,1,3,Positive,poor cant afford hospital opinion medical insurance easy,8
To the neuro ICU nurses 5th floor nurses (shout to Samima and Full) thank you You did a great job.,1,4,Positive,neuro icu nurse th floor nurse shout samima full thank great job,12
Everything is so well coordinated I am definitely a happy patient.,1,5,Positive,everything well coordinated definitely happy patient,6
staff and nurses  are quite arrogant and rude they are not at all punctual and I believe if there was a serious emergency they would still come late.,0,2,Negative,staff nurse quite arrogant rude punctual believe serious emergency would still come late,13
the amount we are paying is not worth it at all.,0,2,Negative,amount paying worth,3
My baby got admitted in hospital and the treatment was good as well as security were kind and polite especially Sangeeta and Shraddha.,1,4,Positive,baby got admitted hospital treatment good well security kind polite especially sangeeta shraddha,13
staff and Nurse services is worst we are only to beg to treat patient and inform to give tablets to patient.,0,2,Negative,staff nurse service worst beg treat patient inform give tablet patient,11
Many other doctors and support team has helped us to over come this situation.,1,5,Positive,many doctor support team helped u come situation,8
if the nurses donâ€™t know how to do their job they shouldnâ€™t be allowed to work near a patient.,0,1,Negative,nurse donâ€™t know job shouldnâ€™t allowed work near patient,9
Hospital is very clean and good and doctor Mr Ravikumar C P is treats our baby within 3days our baby felt better and she became active.,1,4,Positive,hospital clean good doctor mr ravikumar c p treat baby within day baby felt better became active,17
One of the best hospital and good response from Dr I m happy to the service and securities Nice to see they are Communication with attendees.,1,5,Positive,one best hospital good response dr happy service security nice see communication attendee,13
Staff is prompt in their services Excellent team Special thanks to Venamma Taken good care clean place.,1,4,Positive,staff prompt service excellent team special thanks venamma taken good care clean place,13
Very bad experience.,0,2,Negative,bad experience,2
people who handle insurance are VERY CARELESS They donâ€™t even bother about the tension and emergencies of the patient.,0,2,Negative,people handle insurance careless donâ€™t even bother tension emergency patient,10
They always give WRONG communications This is really a very sad part about the hospital.,0,1,Negative,always give wrong communication really sad part hospital,8
We are very happy about the treatment provided technology and doctors advice and concern towards patients in ASTER CMI HOSPITAL.,1,4,Positive,happy treatment provided technology doctor advice concern towards patient aster cmi hospital,12
Worst Experience in Aster CMI hospital,0,2,Negative,worst experience aster cmi hospital,5
She was exceptionally well in handling patients By her soothing words she made worried patients comfortable.,1,4,Positive,exceptionally well handling patient soothing word made worried patient comfortable,10
They are misleading people by not informing about the terms and conditions properly.,0,2,Negative,misleading people informing term condition properly,6
The surgery went really well and the recovery is nice as of now.,1,5,Positive,surgery went really well recovery nice,6
Worst hospital to follow up Even tried walkin appointment but doctor will not take walkin people.,0,2,Negative,worst hospital follow even tried walkin appointment doctor take walkin people,11
Nursing care given by nurses during all the shifts was good.,1,4,Positive,nursing care given nurse shift good,6
The support service team was also good in their work Overall the experience was really good and once again thanks to the entire aster team,1,5,Positive,support service team also good work overall experience really good thanks entire aster team,14
Worst hospital and management,0,2,Negative,worst hospital management,3
The staff is not at all helpful and do not give clear instructions,0,1,Negative,staff helpful give clear instruction,5
I also waited for one hour with a confirmed appointment and the lady at the reception  was very very rude,0,2,Negative,also waited one hour confirmed appointment lady reception rude,9
This has been the worst experience with a hospital across India,0,1,Negative,worst experience hospital across india,5
Many thanks to all Staff Even they celebrated my daughter's birthday & senior doctor Harish also participated in it.,1,4,Positive,many thanks staff even celebrated daughter birthday senior doctor harish also participated,12
The other services are good but REHAB is horrible please rectify this fault.,1,3,Positive,service good rehab horrible please rectify fault,7
Horrible food Worst food among all the hospitals I know of in Bangalore.,0,2,Negative,horrible food worst food among hospital know bangalore,8
Very unresponsive housekeeping staff They will come to clean and replace the sheets at 5 am when the patient is sleeping,0,2,Negative,unresponsive housekeeping staff come clean replace sheet patient sleeping,9
Exhaust fan in the bathroom was not working This is safety issue if you have to use the bathroom after another sick patient.,0,1,Negative,exhaust fan bathroom working safety issue use bathroom another sick patient,11
Overall the hospital is very expensive for the kind of services and amenities provided.,1,4,Positive,overall hospital expensive kind service amenity provided,7
I could easily say Aster CMI is the best hospital for children in entire Bangalore.,1,4,Positive,could easily say aster cmi best hospital child entire bangalore,10
Dr Sapna Lulla was very nice everything was very smooth.,1,4,Positive,dr sapna lulla nice everything smooth,6
Very convenient good parking space Fast service in the reception Well educated / experienced doctors Lab test on time.,1,5,Positive,convenient good parking space fast service reception well educated experienced doctor lab test time,14
They took care of everything and made the patient feel absolutely comfortable.,1,4,Positive,took care everything made patient feel absolutely comfortable,8
I expect more professional attitude from the staffs We meet two doctors both are busy and allow less time for us.,1,3,Positive,expect professional attitude staff meet two doctor busy allow le time u,12
I really liked the overall experience The senior doctors are really qualified and accurate in their diagnosis/treatment.,1,4,Positive,really liked overall experience senior doctor really qualified accurate diagnosistreatment,10
taking good care of the patient food service.,1,4,Positive,taking good care patient food service,6
Hospital is very good and quick treatment Satisfied with facility.,1,5,Positive,hospital good quick treatment satisfied facility,6
My respect and appreciation for all the nurses very caring Well done Aster.,1,5,Positive,respect appreciation nurse caring well done aster,7
Support service team has also have done their work nicely.,1,4,Positive,support service team also done work nicely,7
We had one of the best services provided by the all the doctors and nursing staff specially trivani sister was the best at her service.,1,4,Positive,one best service provided doctor nursing staff specially trivani sister best service,12
We are very much satisfied with the treatment During her stay in the hospital the Nursing staff,1,5,Positive,much satisfied treatment stay hospital nursing staff,7
The staff were very friendly and helpful,1,4,Positive,staff friendly helpful,3
I highly recommend Aster hospital for great patient care.,1,4,Positive,highly recommend aster hospital great patient care,7
The whole neurosurgery team is excellent and awesome Special thanks to Dr Nirmala and all other doctors at ICU who took care of me,1,4,Positive,whole neurosurgery team excellent awesome special thanks dr nirmala doctor icu took care,13
All nursing staff and other staffs also co operated and took good care of us.,1,4,Positive,nursing staff staff also co operated took good care u,10
All the staff reception were very kind and responsive They were guiding me properly with the procedure,1,4,Positive,staff reception kind responsive guiding properly procedure,7
I am very happy with the service provided thank you,1,5,Positive,happy service provided thank,4
Manjari from canteen gave a good service to us She keeps the food on time.,1,5,Positive,manjari canteen gave good service u keep food time,9
All over good service from hospital and staff Thank you Very much Aster CMI Hospital and staff.,1,5,Positive,good service hospital staff thank much aster cmi hospital staff,10
Never seen this bad house keeping Even after multiple request they don't provide what is asked.,0,2,Negative,never seen bad house keeping even multiple request dont provide asked,11
And the scanner bar code they have pasted everywhere for feedback link doesn't work.,1,3,Positive,scanner bar code pasted everywhere feedback link doesnt work,9
We had a wonderful experience at Aster CMI Hospital during our medical visits for my father,1,4,Positive,wonderful experience aster cmi hospital medical visit father,8
All are cooperative and helpful Treatment is great and hospital is good.,1,5,Positive,cooperative helpful treatment great hospital good,6
The sisters here also take good care of patients and are polite to attenders.,1,5,Positive,sister also take good care patient polite attender,8
CCU security Mamatha is very polite and speaks multiple languages and is very friendly.,1,4,Positive,ccu security mamatha polite speaks multiple language friendly,8
The facilities here are very good and you get the confidence that you will get treated well once you are here and go back healthy.,1,5,Positive,facility good get confidence get treated well go back healthy,10
the tests are very expensive and without insurance this will burn a hole in your pocket,1,3,Positive,test expensive without insurance burn hole pocket,7
I am extremely impressed with the services offered at Aster cmi Hospital.,1,4,Positive,extremely impressed service offered aster cmi hospital,7
The facilities were modern and well-maintained creating a comfortable environment for patients,1,4,Positive,facility modern wellmaintained creating comfortable environment patient,7
I am immensely grateful for the positive experience and excellent medical care provided by Aster cmi Hospital,1,5,Positive,immensely grateful positive experience excellent medical care provided aster cmi hospital,11
We are very happy with the experience and will be grateful forever.,1,5,Positive,happy experience grateful forever,4
Thanks for the hospital we got good treatment.,1,4,Positive,thanks hospital got good treatment,5
The patient gets hope and has complete faith that they will get treated and keep in good health.,1,5,Positive,patient get hope complete faith get treated keep good health,10
I'm happy to choose to this hospital thank you so much everyone for you all good supporting,1,4,Positive,im happy choose hospital thank much everyone good supporting,9
Takes lots of time to give report.,1,5,Positive,take lot time give report,5
they were really patient friendly and nursing care was really excellent.,1,4,Positive,really patient friendly nursing care really excellent,7
Aster hospital is excellent in Bangalore with all good services All are good and helpful.,1,5,Positive,aster hospital excellent bangalore good service good helpful,8
Nursing staffs are very lazy,0,2,Negative,nursing staff lazy,3
Floor coordinator John was very helpful and security ayang also very good.,1,4,Positive,floor coordinator john helpful security ayang also good,8
Worst working professional.,0,1,Negative,worst working professional,3
doctor Akshay sir and Pavan Kumar is kind good person he will treat the patient very nicely,1,4,Positive,doctor akshay sir pavan kumar kind good person treat patient nicely,11
the dining area is not maintained well dining area is too small.,1,3,Positive,dining area maintained well dining area small,7
We are very much satisfied with his treatment he explained us the treatment we understood well.,1,5,Positive,much satisfied treatment explained u treatment understood well,8
There are multiple waiting rooms and cafes The hospital is very clean,1,5,Positive,multiple waiting room cafe hospital clean,6
Mamatha is very polite and speaks multiple languages and is very friendly Overall good service,1,5,Positive,mamatha polite speaks multiple language friendly overall good service,9
We shall refer others as we are totally satisfied by the care and hospitality.,1,5,Positive,shall refer others totally satisfied care hospitality,7
Today its our discharge and we are happy to leave from here.,1,5,Positive,today discharge happy leave,4
Thanks to Dr Umesh and team All other doctors siters and staff are come operative and supportive We are thankful for the treatment.,1,5,Positive,thanks dr umesh team doctor siters staff come operative supportive thankful treatment,12
Medications and nursing staffs are very good and co operative we had a good experience in the hospital,1,4,Positive,medication nursing staff good co operative good experience hospital,9
staff is rude specially nurses and billing staff they behave as if they own hospital,0,2,Negative,staff rude specially nurse billing staff behave hospital,8
they do not treat in emergency ward so that patient doesnâ€™t get well till they become potential in patient or customer.,0,1,Negative,treat emergency ward patient doesnâ€™t get well till become potential patient customer,12
Thanks for the good treatment Nursing care its very good,1,4,Positive,thanks good treatment nursing care good,6
Great hospital Amazing doctors Dr Sahana took such good care of me Nurses and staff were very attentive.,1,5,Positive,great hospital amazing doctor dr sahana took good care nurse staff attentive,12
had delay with house keeping staff,0,2,Negative,delay house keeping staff,4
Lakshmi was very helpfull in arranging the scan APPRECIATE ALL HER EFFORT,1,4,Positive,lakshmi helpfull arranging scan appreciate effort,6
Housekeeping didnâ€™t respond for issues neither cared about our problems,0,2,Negative,housekeeping didnâ€™t respond issue neither cared problem,7
Nurse Panchali in night duty very polite and friendly who makes patient to feel homely.,1,4,Positive,nurse panchali night duty polite friendly make patient feel homely,10
no emergency attenders are there.,0,2,Negative,emergency attender,2
No nurse or staff responded well or gave any first aid.,0,1,Negative,nurse staff responded well gave first aid,7
I had a very sensitive and caring experience with my dad,1,4,Positive,sensitive caring experience dad,4
This is the first ever worst experience for us on the hospital.,0,2,Negative,first ever worst experience u hospital,6
Dr Rajini ma'am treated us very well Aster has best facility for the patients,1,5,Positive,dr rajini maam treated u well aster best facility patient,10
The surgery was really good Everything went well He is doing good after surgery We are happy,1,4,Positive,surgery really good everything went well good surgery happy,9
Hospital infrastructure is extremely good.,1,4,Positive,hospital infrastructure extremely good,4
Food given to patients and attenders during BMT was below average and did not meet nutritional requirements,1,3,Positive,food given patient attender bmt average meet nutritional requirement,9
doctor was very arrogant and almost behaved like a hooligan People like him should not be a doctor,0,2,Negative,doctor arrogant almost behaved like hooligan people like doctor,9
journey in this hospital went smoothly and we are very happy with her treatment and the friendly nature of the staff.,1,4,Positive,journey hospital went smoothly happy treatment friendly nature staff,9
Staff from nursing to housekeeping were all really nice and professional.,1,4,Positive,staff nursing housekeeping really nice professional,6
Thank you all for your prompt actions which is leading the way for my aunts recovery.,1,4,Positive,thank prompt action leading way aunt recovery,7
They provide good and quality care Nurses are very friendly and equipments are good.,1,5,Positive,provide good quality care nurse friendly equipment good,8
All doctors and staff are co operative Security Jyothi lakshmi has done good job.,1,5,Positive,doctor staff co operative security jyothi lakshmi done good job,10
very good about diet and she gave very good diet plan for my disease.,1,5,Positive,good diet gave good diet plan disease,7
I had a good experience with aster staff Exclent doctors Nurses Lactation department Dietician Nursing aids,1,5,Positive,good experience aster staff exclent doctor nurse lactation department dietician nursing aid,12
Very good treatment received Thanks to Sir Sri P R Dayanidhi and Ishika Security Ayang Madam from Arunachal,1,5,Positive,good treatment received thanks sir sri p r dayanidhi ishika security ayang madam arunachal,14
The nursing staff is very good and polite and we felt very comfortable Thank you very much for the all the support and care,1,5,Positive,nursing staff good polite felt comfortable thank much support care,10
overall good treatment and excellent doctor and nursing staffs.,1,5,Positive,overall good treatment excellent doctor nursing staff,7
Thanks to all doctors team Treatment is wonderful We are completely satisfied,1,5,Positive,thanks doctor team treatment wonderful completely satisfied,7
Rude doctors Rude physiotherapists Rude staff Inexperienced nurses,0,2,Negative,rude doctor rude physiotherapist rude staff inexperienced nurse,8
The billing and admission department people have no heart and they are very rude.,0,1,Negative,billing admission department people heart rude,6
The doctor who conducted my fatherâ€™s surgery was rude as well and spoke arrogantly with us.,0,2,Negative,doctor conducted fatherâ€™s surgery rude well spoke arrogantly u,9
Nursing staffs are also really in their care and treatment Support services team also was good.,1,4,Positive,nursing staff also really care treatment support service team also good,11
Dr Nishta performed my colposcopy and biopsy so effortlessly made me feel very comfortable.,1,4,Positive,dr nishta performed colposcopy biopsy effortlessly made feel comfortable,9
Thank you once again for your exceptional service and for making my ACL surgery experience a positive one.,1,5,Positive,thank exceptional service making acl surgery experience positive one,9
Doctor treatment is good nurse caring is good and support services is very excellent.,1,4,Positive,doctor treatment good nurse caring good support service excellent,9
If you don't have insurance please don't choose this hospital.,1,3,Positive,dont insurance please dont choose hospital,6
